stock_name,acc_test,acc_eval,expected_value,buy_percent,pred_sell,pred_hold,pred_buy
140410,메지온 ,0.6023,0.3243,4.7511,0.035,0.3556,0.4518,0.1926
033290,코웰패션 ,0.6109,0.4301,4.1739,0.015,0.9505,0.0452,0.0043
003550,LG ,0.5871,0.359,2.8708,0.045,0.1251,0.5345,0.3404
178920,SKC코오롱PI ,0.6154,0.4286,4.5386,0.055,0.1027,0.5007,0.3966
000210,대림산업 ,0.6457,0.4886,4.0,0.0,0.0479,0.8475,0.1046
005830,DB손해보험 ,0.5757,0.3953,3.5714,0.065,0.1365,0.1197,0.7438
017670,SK텔레콤 ,0.5943,0.3636,2.2869,0.025,0.0193,0.9491,0.0316
023530,롯데쇼핑 ,0.5712,0.2448,2.8716,0.23,0.0028,0.0002,0.9971
001040,CJ ,0.5741,0.6044,3.3048,0.02,0.6133,0.2998,0.0869
000270,기아차 ,0.6029,0.4452,3.3206,0.015,0.987,0.0128,1e-04
028300,에이치엘비 ,0.6154,0.5758,6.0886,0.055,0.3018,0.3211,0.3771
068760,셀트리온제약 ,0.588,0.4286,3.6474,0.045,0.3917,0.2782,0.3301
024110,기업은행 ,0.6371,0.5776,2.8571,0.025,0.1482,0.0186,0.8332
036830,솔브레인 ,0.6044,0.3232,4.321,0.005,0.7376,0.1662,0.0963
213420,덕산네오룩스 ,0.595,0.3577,4.9037,0.105,0.537,0.4556,0.0074
036570,엔씨소프트 ,0.62,0.3929,4.2296,0.0,0.4832,0.3358,0.181
218410,RFHIC ,0.6581,0.354,4.0094,0.015,0.3581,0.0368,0.605
012510,더존비즈온 ,0.6052,0.466,4.4554,0.065,0.9601,0.0114,0.0285
023890,한국아트라스비엑스 ,0.6411,0.4615,2.8877,0.0,0.5428,0.4262,0.031
000250,삼천당제약 ,0.6379,0.3714,3.9594,0.23,0.0073,0.0107,0.982
084990,헬릭스미스 ,0.635,0.4923,4.918,0.135,0.2463,0.1295,0.6241
051900,LG생활건강 ,0.5657,0.3298,3.6247,0.02,0.1666,0.2969,0.5365
005935,삼성전자우 ,0.5897,0.3966,2.9528,0.01,0.206,0.3905,0.4035
214150,클래시스 ,0.7099,0.1974,2.5189,0.02,0.1448,0.2998,0.5554
139480,이마트 ,0.5895,0.3458,2.7344,0.11,0.2017,0.7037,0.0946
043150,바텍 ,0.6225,0.4821,4.3269,0.02,0.4494,0.354,0.1965
032500,케이엠더블유 ,0.6036,0.2039,5.3846,0.0,0.7866,0.1863,0.0271
082270,젬백스 ,0.6431,0.5376,4.9123,0.11,0.2249,0.7016,0.0735
196170,알테오젠 ,0.6442,0.4444,5.9524,0.105,0.4885,0.4235,0.088
011780,금호석유 ,0.6114,0.4643,4.2984,0.025,0.052,0.9413,0.0067
078340,컴투스 ,0.566,0.45,4.9769,0.04,0.0098,0.8904,0.0999
028050,삼성엔지니어링 ,0.6361,0.5036,4.3689,0.02,0.6696,0.1876,0.1428
000720,현대건설 ,0.6157,0.4029,3.871,0.18,0.3213,0.1494,0.5293
010950,S-Oil ,0.62,0.4844,2.8017,0.09,0.9344,0.0457,0.0199
058820,CMG제약 ,0.6128,0.5111,5.4545,0.015,0.5199,0.2561,0.2239
068270,셀트리온 ,0.5964,0.4783,3.9614,0.065,0.8446,0.1366,0.0188
138930,BNK금융지주 ,0.602,0.4733,2.3622,0.165,0.8932,0.0184,0.0884
097950,CJ제일제당 ,0.6099,0.4651,2.8443,0.1,0.0319,0.7708,0.1973
008770,호텔신라 ,0.5929,0.4667,4.0936,0.025,0.0266,0.9602,0.0132
038540,상상인 ,0.6411,0.4286,4.9708,0.02,0.8282,0.1506,0.0211
000120,CJ대한통운 ,0.6273,0.4466,3.2028,0.055,0.1218,0.8763,0.0019
078930,GS ,0.6129,0.2846,3.0303,0.04,0.0517,0.0055,0.9429
004020,현대제철 ,0.6129,0.2661,3.4483,0.115,0.1791,0.0355,0.7853
022100,포스코 ICT ,0.6086,0.5051,3.2051,0.06,0.0197,0.6055,0.3748
003490,대한항공 ,0.6125,0.3581,3.481,0.17,0.0013,0.0012,0.9976
005290,동진쎄미켐 ,0.6389,0.6032,4.3524,0.115,0.2695,0.1258,0.6047
092040,아미코젠 ,0.6157,0.2903,4.8128,0.215,0.0052,0.0985,0.8963
000660,SK하이닉스 ,0.6,0.4792,4.2802,0.035,0.664,0.307,0.029
128940,한미약품 ,0.6321,0.4757,3.876,0.02,0.2364,0.6277,0.1359
060250,NHN한국사이버결제 ,0.6541,0.4789,4.4053,0.045,0.1595,0.5054,0.3351
088980,맥쿼리인프라 ,0.6562,0.5217,0.9859,0.025,0.6534,0.2067,0.1399
035250,강원랜드 ,0.5586,0.2828,2.8986,0.06,0.0125,0.3423,0.6451
071050,한국금융지주 ,0.6214,0.5,3.9494,0.035,0.1528,0.7353,0.112
102110,TIGER 200 ,0.5974,0.3509,1.5479,0.025,0.3831,0.5966,0.0203
098460,고영 ,0.6278,0.4309,3.8585,0.07,0.6685,0.3293,0.0022
